項目別, ,銷售量,,,,,銷售值 (千元),,,,, 
 , ,(0920010)果蔬汁 (千公升),(0920910)碳酸飲料 (千公升),(0920930)運動飲料 (千公升),(0920940)咖啡飲料 (千公升),(0920950)茶類飲料 (千公升),(0920010)果蔬汁,(0920910)碳酸飲料,(0920930)運動飲料,(0920940)咖啡飲料,(0920950)茶類飲料, 
 ,8月,"30,879","53,815","20,062","8,440","57,060","905,151","1,233,090","449,130","349,021","1,312,082", 
 ,9月,"22,454","41,062","21,185","6,499","44,785","683,333","888,466","459,758","268,533","1,029,894", 
 ,10月,"17,975","36,394","15,816","5,417","37,048","532,087","801,215","368,261","223,911","851,957", 
 ,11月,"17,097","25,276","10,023","5,397","36,383","537,565","551,104","212,084","223,224","836,607", 
 ,12月,"15,869","22,721","12,014","4,949","33,183","471,847","464,923","263,710","204,695","762,994", 
1993年,1月,"20,523","32,126","6,460","4,900","47,750","523,887","638,379","134,308","202,626","1,114,965", 
 ,2月,"20,762","24,054","5,892","4,925","47,804","509,294","486,504","131,247","203,686","1,116,176", 
 ,3月,"25,415","28,322","10,206","6,466","62,122","615,126","611,586","234,924","267,517","1,450,278", 
 ,4月,"27,764","35,802","11,451","6,519","63,153","667,896","752,960","230,205","269,609","1,474,522", 
 ,5月,"31,459","39,461","16,090","6,828","67,860","766,475","844,386","342,676","282,082","1,585,045", 
 ,6月,"29,709","43,555","17,667","7,009","68,925","725,437","904,766","390,979","289,737","1,609,650", 
 ,7月,"34,186","61,677","16,983","8,052","78,593","810,018","1,328,217","356,574","332,931","1,835,222", 
 ,8月,"36,337","61,725","18,161","8,908","119,063","984,082","1,258,222","373,659","368,010","2,071,043", 
 ,9月,"29,766","42,837","14,002","7,682","75,971","757,707","902,553","296,786","316,236","1,774,451", 
 ,10月,"26,566","47,680","13,313","8,282","82,549","597,324","996,590","290,765","340,842","1,928,312", 
 ,11月,"24,815","26,674","10,685","7,052","70,158","501,886","521,149","232,783","290,208","1,638,812", 
 ,12月,"22,436","21,048","9,394","6,814","67,676","533,046","429,836","199,548","280,477","1,580,804", 
1994年,1月,"24,092","21,529","2,852","5,934","71,434","554,796","446,016","54,881","244,082","1,646,900", 
 ,2月,"24,794","22,393","3,904","5,761","70,593","562,063","420,482","78,256","236,076","1,616,954", 
 ,3月,"27,163","25,066","6,496","6,597","79,594","668,516","520,152","128,008","271,488","1,829,937", 
 ,4月,"33,355","38,498","16,467","7,820","102,014","754,813","812,234","353,407","320,532","2,276,976", 
 ,5月,"33,620","43,931","15,270","8,333","107,567","768,866","938,071","329,856","341,822","2,387,175", 
 ,6月,"34,385","42,189","16,009","8,539","112,933","774,652","903,717","341,004","350,737","2,495,472", 
 ,7月,"36,828","47,992","13,699","8,910","123,262","833,090","1,010,887","288,362","364,748","2,626,924", 
 ,8月,"36,168","52,689","16,406","9,791","127,742","848,219","1,096,190","350,903","391,085","2,781,819", 
 ,9月,"31,079","44,065","15,401","9,277","119,766","740,981","918,724","323,139","370,511","2,561,502", 
 ,10月,"24,781","39,765","15,443","7,915","101,088","568,029","832,297","339,793","311,084","2,160,616", 
 ,11月,"27,203","27,270","16,451","7,043","91,480","571,195","576,184","364,937","276,876","1,894,974", 
 ,12月,"25,719","23,991","12,982","7,398","93,960","542,361","477,861","258,476","290,811","1,999,182", 
1995年,1月,"26,717","28,529","3,934","6,388","76,215","592,323","546,656","70,803","254,957","1,643,842", 
 ,2月,"19,756","18,486","3,407","5,181","62,445","412,715","385,733","65,239","207,274","1,348,424", 
 ,3月,"31,428","23,237","6,711","6,902","95,320","664,100","506,057","122,254","275,654","1,797,829", 
 ,4月,"28,034","31,998","12,582","7,347","103,796","612,852","683,920","244,044","294,811","2,099,528", 
 ,5月,"31,045","39,672","21,894","8,183","106,933","704,113","842,034","432,150","326,995","2,271,105", 
 ,6月,"30,851","43,077","20,164","7,875","104,592","734,560","920,705","431,319","314,150","2,180,089", 
 ,7月,"32,429","51,297","17,377","7,955","103,140","730,488","1,095,729","357,999","318,197","2,188,561", 
 ,8月,"31,722","58,944","18,746","8,218","102,019","733,804","1,279,672","382,110","323,039","2,200,987", 
 ,9月,"28,104","43,636","19,366","7,715","95,395","673,364","900,212","399,653","303,180","2,024,805", 
 ,10月,"22,387","35,984","18,937","6,829","91,995","525,931","799,811","395,098","269,644","1,862,405", 
 ,11月,"21,758","25,267","12,646","6,471","82,407","505,702","544,642","256,654","255,526","1,733,336", 
 ,12月,"19,315","19,986","5,479","5,458","62,682","441,215","422,674","108,035","215,246","1,292,685", 
1996年,1月,"20,210","26,364","5,606","5,213","58,725","480,511","572,552","107,771","205,504","1,238,605", 
 ,2月,"20,959","31,492","6,230","5,402","61,152","491,589","648,669","126,058","212,683","1,343,470", 
 ,3月,"25,111","28,632","13,345","6,579","83,279","572,571","652,352","270,872","259,344","1,704,656", 
 ,4月,"23,290","33,457","15,276","6,295","81,000","525,655","774,893","317,790","248,124","1,662,980", 
 ,5月,"24,253","41,009","13,689","6,306","75,386","583,314","930,833","278,000","248,746","1,622,938", 
 ,6月,"28,860","46,953","21,463","6,708","89,397","720,585","1,038,847","455,121","264,621","1,701,762", 
 ,7月,"26,645","53,092","23,621","7,269","93,034","649,065","1,201,441","488,184","286,417","1,909,933", 
 ,8月,"31,239","63,167","22,015","7,770","103,205","763,032","1,374,497","453,604","306,061","2,058,527", 
 ,9月,"25,582","45,295","22,411","6,929","86,485","629,653","974,081","460,349","272,945","1,762,827", 
 ,10月,"21,562","31,859","10,614","6,390","78,486","522,649","714,852","237,065","251,762","1,632,224", 
 ,11月,"20,549","27,515","10,002","5,983","74,177","495,148","616,926","211,004","235,712","1,487,879", 
 ,12月,"18,907","22,467","7,790","6,095","71,554","465,845","477,251","171,709","240,068","1,422,759", 
1997年,1月,"20,844","35,047","5,655","6,165","54,496","514,720","731,858","120,308","242,421","1,244,751", 
 ,2月,"15,613","26,463","6,026","4,916","48,487","383,769","587,834","126,755","193,336","1,055,322", 
 ,3月,"20,233","35,771","14,411","7,190","75,456","502,129","802,694","310,209","283,325","1,632,848", 
 ,4月,"24,105","37,834","13,924","7,522","79,443","601,480","858,270","295,814","296,426","1,646,477", 
 ,5月,"28,531","44,632","19,593","7,652","79,754","692,159","986,717","421,882","301,760","1,692,498", 
 ,6月,"25,329","34,740","17,560","7,383","79,326","539,303","767,293","343,607","291,186","1,679,085", 
 ,7月,"26,882","51,316","21,297","7,968","85,450","642,040","1,136,148","442,737","314,201","1,794,101", 
 ,8月,"27,696","64,139","23,934","8,272","87,697","611,546","1,383,937","495,955","325,981","1,793,555", 
 ,9月,"25,683","37,920","23,205","7,666","80,940","637,232","797,963","517,243","302,066","1,621,778", 
 ,10月,"22,620","31,833","10,596","6,915","73,459","548,290","683,352","202,483","272,312","1,490,244", 
 ,11月,"18,965","30,480","8,772","6,509","70,244","476,249","691,503","283,917","256,511","1,395,829", 
 ,12月,"18,623","26,445","6,800","6,265","61,491","455,837","533,967","135,595","246,881","1,236,706", 
1998年,1月,"22,462","37,006","7,642","6,555","56,954","536,182","740,955","159,073","258,521","1,142,950", 
 ,2月,"16,461","24,497","9,046","5,725","49,385","407,770","522,322","190,253","225,825","988,828", 
 ,3月,"19,688","29,962","12,412","6,911","63,944","493,072","671,052","259,891","272,477","1,305,245", 
 ,4月,"24,679","44,282","19,350","7,188","75,324","610,165","989,631","411,503","283,434","1,458,917", 
 ,5月,"26,192","45,989","18,333","7,779","73,801","649,930","962,061","394,136","306,696","1,460,026", 
 ,6月,"27,701","41,857","21,822","8,513","74,612","688,885","904,882","447,047","333,146","1,545,778", 
 ,7月,"32,444","60,620","19,528","8,222","81,570","782,952","1,293,351","393,487","321,903","1,692,527", 
 ,8月,"31,811","64,658","25,748","8,921","95,080","786,935","1,394,424","552,269","349,384","1,922,649", 
 ,9月,"26,538","45,450","19,971","9,190","73,432","667,070","942,312","447,652","360,027","1,461,984", 
 ,10月,"22,825","33,595","11,658","7,904","65,957","559,412","683,212","256,277","309,952","1,352,158", 
 ,11月,"20,439","27,224","5,201","8,079","56,100","509,336","575,602","109,998","316,172","1,193,760", 
 ,12月,"21,332","30,316","6,290","10,513","49,959","517,830","628,491","129,490","411,487","1,030,766", 
1999年,1月,"23,958","22,358","7,508","6,450","46,659","565,889","436,740","154,381","252,831","937,963", 
 ,2月,"21,040","36,383","9,424","6,878","43,755","484,534","731,472","198,822","269,369","873,079", 
 ,3月,"25,151","34,579","13,771","6,607","56,026","568,534","711,461","293,294","258,462","1,179,995", 
 ,4月,"28,607","41,329","15,109","9,282","61,152","718,848","888,110","291,776","363,476","1,216,851", 
 ,5月,"28,995","37,180","18,026","8,353","65,745","713,229","814,625","375,195","327,142","1,248,869", 
 ,6月,"31,201","41,232","21,450","9,733","64,931","789,583","882,680","419,953","381,164","1,270,693", 
 ,7月,"32,292","46,709","20,545","10,636","58,982","830,084","997,183","405,041","416,082","1,207,846", 
 ,8月,"31,058","57,288","26,534","11,136","62,115","810,894","1,164,372","513,231","435,664","1,269,273", 
 ,9月,"25,749","39,247","14,020","10,063","53,599","695,983","798,652","286,334","393,511","1,053,950", 
 ,10月,"23,512","33,687","11,800","9,462","52,546","611,636","707,302","246,242","370,478","969,323", 
 ,11月,"21,343","22,851","6,422","9,001","44,048","558,125","460,253","95,041","352,035","852,140", 
 ,12月,"18,429","22,580","5,762","8,712","35,148","463,961","446,334","113,965","340,758","757,007", 
2000年,1月,"23,861","31,195","8,066","10,715","40,166","610,013","634,095","176,676","416,863","769,374", 
 ,2月,"17,269","26,121","9,001","7,536","33,700","446,429","535,837","210,903","293,421","628,986", 
 ,3月,"23,973","29,382","12,820","10,090","45,027","604,858","636,541","268,754","393,411","893,378", 
 ,4月,"27,111","31,507","12,619","9,135","45,050","690,346","647,224","266,519","355,742","895,867", 
 ,5月,"30,786","37,525","22,426","9,070","49,479","769,310","787,163","473,784","353,479","990,464", 
 ,6月,"32,391","42,703","25,923","9,865","48,419","786,629","916,536","506,748","384,833","859,726", 
 ,7月,"33,398","48,374","20,810","8,593","52,434","823,160","1,005,950","422,857","336,040","932,299", 
 ,8月,"35,287","52,202","26,692","8,785","55,266","865,263","1,061,844","559,456","342,015","1,002,275", 
 ,9月,"31,190","37,681","20,391","9,104","48,600","751,798","773,222","410,790","354,499","830,862", 
 ,10月,"29,281","31,008","9,459","7,731","51,816","696,242","640,148","201,223","301,113","960,598", 
 ,11月,"22,713","25,557","7,787","7,798","41,344","537,743","534,642","181,125","303,690","855,776", 
 ,12月,"21,707","24,894","7,164","8,128","43,430","527,770","518,414","152,438","316,686","836,716", 
2001年,1月,"20,838","33,525","9,340","8,624","48,148","499,616","638,829","199,228","335,395","840,309", 
 ,2月,"20,209","28,102","11,077","6,895","45,752","522,929","562,242","241,958","268,544","824,370", 
 ,3月,"29,855","31,318","14,676","7,522","52,220","701,405","669,039","318,890","293,131","962,253", 
 ,4月,"24,143","29,483","13,864","7,005","50,898","642,570","600,236","291,881","272,533","920,875", 
 ,5月,"31,901","39,771","21,969","7,048","48,609","821,643","838,158","458,672","274,318","924,117", 
 ,6月,"32,720","42,361","15,431","7,893","64,185","859,794","836,825","344,460","307,688","1,156,812", 
 ,7月,"35,607","46,049","16,537","8,694","58,980","924,125","928,674","361,004","338,685","1,068,427", 
 ,8月,"37,913","59,772","25,641","8,811","67,554","981,437","1,156,995","462,747","342,704","1,366,205", 
 ,9月,"26,856","36,221","17,185","7,898","48,105","693,480","733,407","301,568","307,098","939,690", 
 ,10月,"28,305","31,273","11,773","7,639","42,323","671,521","635,348","200,544","296,926","823,188", 
 ,11月,"25,707","24,194","6,240","7,505","37,637","623,851","493,139","114,302","291,790","712,866", 
 ,12月,"27,245","28,293","5,435","8,454","36,393","647,438","595,478","106,733","328,786","704,447", 
2002年,1月,"26,340","32,921","8,506","8,461","55,924","648,200","603,050","154,503","328,948","1,056,465", 
 ,2月,"22,697","31,151","8,528","6,361","37,868","578,727","575,794","171,773","247,303","816,228", 
 ,3月,"29,288","31,292","11,283","6,583","56,011","756,215","639,067","214,478","256,305","1,022,306", 
 ,4月,"34,015","32,184","16,040","7,420","51,712","856,700","640,295","304,394","289,051","961,819", 
 ,5月,"35,127","36,831","17,313","7,742","57,295","845,342","720,420","324,741","301,484","1,019,668", 
 ,6月,"30,495","42,347","15,859","7,231","60,029","731,287","818,221","316,735","281,735","1,105,320", 
 ,7月,"35,053","50,278","20,349","7,983","63,014","878,610","979,901","381,967","310,875","1,147,728", 
 ,8月,"38,573","67,064","23,458","7,938","71,579","957,458","1,249,845","398,877","308,480","1,297,131", 
 ,9月,"29,722","36,013","11,526","7,994","51,581","739,448","685,236","241,252","311,380","922,679", 
 ,10月,"27,855","29,961","10,485","6,553","53,206","716,644","588,024","220,704","254,809","957,252", 
 ,11月,"23,475","23,363","5,918","6,970","47,358","607,023","453,095","121,494","271,403","833,418", 
 ,12月,"24,416","25,475","4,488","7,431","45,920","642,662","478,967","96,677","289,128","766,057", 
2003年,1月,"30,087","31,595","8,464","10,130","49,881","711,625","572,913","171,686","394,310","856,021", 
 ,2月,"22,365","26,028","8,527","6,733","37,822","518,218","487,598","166,427","262,819","663,675", 
 ,3月,"28,604","28,824","10,992","8,339","53,832","660,950","555,210","204,849","325,519","923,217", 
 ,4月,"28,900","31,509","13,811","7,400","56,993","658,406","604,591","272,857","288,484","982,542", 
 ,5月,"30,970","38,267","14,924","9,619","57,139","736,953","699,470","272,066","376,373","980,420", 
 ,6月,"27,597","33,687","14,835","8,565","54,589","661,891","618,075","287,687","335,265","969,525", 
 ,7月,"36,247","61,624","25,700","10,616","75,710","859,677","1,074,430","432,975","414,932","1,317,414", 
 ,8月,"33,714","59,979","24,146","10,956","71,504","808,159","1,067,092","448,605","427,751","1,270,017", 
 ,9月,"29,062","38,431","13,095","9,866","60,869","691,301","702,541","255,866","384,679","1,077,954", 
 ,10月,"27,423","30,122","12,877","9,782","58,204","708,832","543,019","232,631","382,486","989,387", 
 ,11月,"23,906","24,258","8,048","7,857","50,493","595,144","439,102","160,018","307,116","856,431", 
 ,12月,"24,004","24,839","4,524","9,254","50,238","551,911","450,674","90,165","359,917","847,847", 
2004年,1月,"24,030","34,761","6,116","10,921","37,236","560,359","558,992","125,829","432,342","661,338", 
 ,2月,"21,722","22,826","6,931","7,525","32,398","509,819","403,449","142,785","292,218","573,172", 
 ,3月,"24,938","29,035","10,491","9,474","38,318","577,296","520,139","209,736","364,123","677,936", 
 ,4月,"26,396","30,789","12,769","8,759","43,693","625,864","555,877","249,171","344,112","764,688", 
 ,5月,"30,568","35,245","12,067","10,612","47,368","717,190","611,166","215,333","419,541","804,662", 
 ,6月,"29,191","38,191","13,041","8,574","52,192","668,431","631,639","241,035","335,301","902,788", 
 ,7月,"35,977","39,549","16,644","8,536","76,586","799,563","676,663","315,473","329,323","1,239,218", 
 ,8月,"38,687","60,236","23,634","8,542","79,208","876,142","990,989","398,120","324,871","1,286,751", 
 ,9月,"29,927","38,838","14,934","10,912","47,811","691,712","631,223","270,335","426,366","821,082", 
 ,10月,"22,976","25,211","9,171","7,878","39,929","510,660","446,548","168,291","305,173","684,062", 
 ,11月,"22,852","23,473","7,288","9,376","36,305","505,830","428,114","136,057","363,351","615,213", 
